A\	A	
AF	À	
AS	Á	
AR	Ả	
AX	Ã	
AJ	Ạ	
AW	Ă	
AW\	Ă	
AWF	Ằ
AFW	Ằ	
AWS	Ắ
ASW	Ắ	
AWR	Ẳ
ARW	Ẳ
AWX	Ẵ
AXW	Ẵ	
AWJ	Ặ
AJW	Ặ	
AA	Â	
AA\	Â	
AAF	Ầ
AFA	Ầ	
AAS	Ấ
ASA	Ấ	
AAR	Ẩ
ARA	Ẩ	
AAX	Ẫ
AXA	Ẫ	
AAJ	Ậ
AJA	Ậ		
D\	D	
DD	Đ		
E\	E	
EF	È	
ES	É	
ER	Ẻ	
EX	Ẽ	
EJ	Ẹ	
EE	Ê	
EE\	Ê	
EEF	Ề
EFE	Ề	
EES	Ế
ESE	Ế	
EER	Ể
ERE	Ể	
EEX	Ễ
EXE	Ễ	
EEJ	Ệ
EJE	Ệ			
I\	I	
IF	Ì	
IS	Í	
IR	Ỉ	
IX	Ĩ	
IJ	Ị			
O\	O	
OF	Ò	
OS	Ó	
OR	Ỏ	
OX	Õ	
OJ	Ọ	
OO	Ô	
OO\	Ô	
OOF	Ồ
OFO	Ồ	
OOS	Ố
OSO	Ố	
OOR	Ổ
ORO	Ổ	
OOX	Ỗ
OXO	Ỗ	
OOJ	Ộ
OJO	Ộ	
OW	Ơ	
OW\	Ơ	
OWF	Ờ
OFW	Ờ	
OWS	Ớ
OSW	Ớ	
OWR	Ở
ORW	Ở	
OWX	Ỡ
OXW	Ỡ	
OWJ	Ợ
OJW	Ợ			
U\	U	
UF	Ù	
US	Ú	
UR	Ủ	
UX	Ũ	
UJ	Ụ	
UW	Ư	
UW\	Ư	
UWF	Ừ
UFW	Ừ
UWS	Ứ
USW	Ứ	
UWR	Ử
URW	Ử	
UWX	Ữ
UXW	Ữ	
UWJ	Ự
UJW	Ự
UOW	ƯƠ
UOWF	ƯỜ
UOWS	ƯỚ
UOWR	ƯỞ
UOWX	ƯỠ
UOWJ	ƯỢ				
Y\	Y	
YF	Ỳ	
YS	Ý	
YR	Ỷ	
YX	Ỹ	
YJ	Ỵ	
\	\		
a\	a	
af	à	
as	á	
ar	ả	
ax	ã	
aj	ạ	
aw	ă	
aw\	ă	
awf	ằ
afw	ằ	
aws	ắ
asw	ắ	
awr	ẳ
arw	ẳ	
awx	ẵ
axw	ẵ	
awj	ặ
ajw	ặ	
aa	â	
aa\	â	
aaf	ầ
afa	ầ	
aas	ấ
asa	ấ	
aar	ẩ
ara	ẩ	
aax	ẫ
axa	ẫ	
aaj	ậ
aja	ậ		
d\	d	
dd	đ		
e\	e	
ef	è	
es	é	
er	ẻ	
ex	ẽ	
ej	ẹ	
ee	ê	
ee\	ê	
eef	ề
efe	ề	
ees	ế
ese	ế	
eer	ể
ere	ể	
eex	ễ
exe	ễ	
eej	ệ
eje	ệ			
i\	i	
if	ì	
is	í	
ir	ỉ	
ix	ĩ	
ij	ị			
o\	o	
of	ò	
os	ó	
or	ỏ	
ox	õ	
oj	ọ	
oo	ô	
oo\	ô	
oof	ồ
ofo	ồ	
oos	ố
oso	ố	
oor	ổ
oro	ổ	
oox	ỗ
oxo	ỗ	
ooj	ộ
ojo	ộ	
ow	ơ	
ow\	ơ	
owf	ờ
ofw	ờ	
ows	ớ
osw	ớ	
owr	ở
orw	ở	
owx	ỡ
oxw	ỡ	
owj	ợ
ojw	ợ				
u\	u	
uf	ù	
us	ú	
ur	ủ	
ux	ũ	
uj	ụ	
uw	ư	
uw\	ư	
uwf	ừ
ufw	ừ	
uws	ứ
usw	ứ	
uwr	ử
urw	ử	
uwx	ữ
uxw	ữ	
uwj	ự
ujw	ự
uow	ươ
uowf	ườ
uows	ướ
uowx	ưỡ
uowr	ưở
uowj	ượ				
y\	y	
yf	ỳ	
ys	ý	
yr	ỷ	
yx	ỹ	
yj	ỵ	
